"pid","assessed_value"
1,347402.45
2,112457.78
3,109114.26
4,311557.59
5,329097.46
6,322473.52
7,229563.37
8,314822.49
9,198573.9
10,199074.12
11,236124.58
12,362482.41
13,356240.76
14,632937.64
15,111309.42
16,289992.29
17,179296.59
18,286649.9
19,124293.36
20,225701.81
21,291399.1
22,329526.07
23,152902.71
24,113599.57
25,126920.57
26,215830.02
27,151735.96
28,169133.62
29,335022.19
30,285785.92
31,378268.19
32,226205.03
33,592899.97
34,248013.74
35,350080.85
36,341011.13
37,324053.39
38,428891.22
39,518302.04
40,227423.3
41,329906.3
42,409526.44
43,224996.8
44,390747.6
45,346619.97
46,154373.39
47,404316.77
48,310080.38
49,138457.34
50,514055.61
51,371423.89
52,156281.89
53,259080.95
54,637635.11
55,369557.64
56,112884.94
57,143217.49
58,164652.52
59,237752
60,282749.93
61,320204.36
62,158311.16
63,150737.1
64,428543.34
65,328839.28
66,123510.17
67,190291.7
68,328355.08
69,530462.67
70,177847.41
71,478119.9
72,282654.84
73,474490.37
74,373523.05
75,226772.8
76,247208.17
77,308891.05
78,415526.88
79,284637.73
80,328279.34
81,362664.42
82,677878.25
83,345628.45
84,280865.83
85,211697.65
86,194984.61
87,187193.39
88,381936.72
89,301805.71
90,312504.6
91,197415.36
92,260739.91
93,701029.73
94,119526.51
95,218128.4
96,258269.63
97,130368.64
98,350086.03
99,130954.87
100,320522.65
101,299269.71
102,805685.1
103,322547.58
104,367620.64
105,201829.8
106,351714.96
107,159971.53
108,272868.01
109,597611.68
110,323589.35
111,110708.97
112,241395.31
113,365943.77
114,429532.38
115,349698.4
116,378455.55
117,174328.09
118,365906.99
119,284962.02
120,262907.87
121,508160.3
122,97493.58
123,369014.15
124,251827.23
125,274743.29
126,469113.29
127,139196.97
128,149661
129,445842.38
130,396933.63
131,143496.34
132,408290.04
133,245398.13
134,372444.05
135,235200.24
136,506419.25
137,304908.73
138,365265.36
139,251815.16
140,200461.34
141,440808.15
142,199586.46
143,293915.69
144,397748.52
145,99058.65
146,571755.02
147,493806.36
148,128838.86
149,172097.1
150,514124.29
151,427364
152,407780.08
153,225880.3
154,169398.13
155,676949.85
156,400877.03
157,375310.59
158,88233.37
159,386984.64
160,268726.13
161,362623.87
162,193516.51
163,386285.36
164,664439.51
165,513690.03
166,235239.8
167,1153387.53
168,225206.69
169,310358.22
170,453650.64
171,214319.9
172,155222.89
173,271014.2
174,253130.91
175,207137.03
176,406175.01
177,176976.18
178,297363.97
179,144203.17
180,111845.91
181,271167.27
182,332408.31
183,314610.9
184,151055.3
185,357672.75
186,292365.19
187,217454.33
188,338778.36
189,254602.45
190,363668.43
191,148516.92
192,315645.88
193,136828.93
194,334499.88
195,187095.92
196,111165.56
197,275095.78
198,317687.28
199,282229.64
200,289821.19
201,250659.34
202,482635.96
203,363758.54
204,114562.36
205,257316.03
206,111144.66
207,453729.12
208,130322.88
209,339497.42
210,411315.78
211,235382.36
212,243317.2
213,191119.43
214,165301.75
215,277895.12
216,267119.02
217,117711.07
218,374298.29
219,849627.83
220,197529.37
221,311303.36
222,324955.36
223,993674.77
224,342615.31
225,341623.67
226,467316.52
227,429506.71
228,313769.72
229,545978.21
230,286386.79
231,201404.29
232,201056.35
233,381456.16
234,253532.5
235,374094.7
236,651292.58
237,218767.1
238,622641.24
239,224278.73
240,676348.11
241,374158.63
242,679944.58
243,355798.97
244,215416.46
245,368275.23
246,375614.3
247,296092.76
248,69805.53
249,142949.58
250,396053.94
251,356647.97
252,211030.61
253,352078.08
254,325993.15
255,131799
256,314728.57
257,341271.5
258,199909.76
259,223092.14
260,189395.82
261,701045.72
262,195237.2
263,359788.62
264,569363.3
265,367811.19
266,341124.79
267,362558.63
268,434229.15
269,353717.2
270,456327.44
271,107065.53
272,229989.66
273,271180.09
274,180046.47
275,368950.92
276,372139.46
277,95792.76
278,177325.1
279,341810.79
280,428449.63
281,353642.49
282,193579.73
283,345256.49
284,322550.79
285,215372.71
286,317613.22
287,139388.76
288,857957.75
289,529265.65
290,658213.21
291,348892.13
292,304525.43
293,660396.45
294,458955.73
295,264828.74
296,172003.5
297,191269.83
298,115670.91
299,130964.39
300,345092.86
301,163258.89
302,423811.17
303,516233.86
304,391707.17
305,231984.88
306,374875.44
307,414787.76
308,201767.29
309,309455.37
310,360040.17
311,537012.81
312,629959.25
313,129348.06
314,226552.27
315,193264.42
316,353713.78
317,361371.38
318,136046.28
319,402306.64
320,594407.8
321,333066.73
322,304337.45
323,276698.74
324,286894.69
325,265163.75
326,542990.69
327,228544.63
328,171047.78
329,318784.25
330,370287.64
331,193621.04
332,68187.81
333,176671.4
334,313096.54
335,342115.6
336,154212.98
337,335033.66
338,454436.79
339,263965.6
340,218770.8
341,397558.82
342,350156.51
343,246069.59
344,115064.34
345,367559.41
346,243187.41
347,362635.2
348,194412.69
349,344648.06
350,301566.97
351,795513.3
352,232912.59
353,260921.41
354,246129.32
355,313509.4
356,263081.21
357,355777.03
358,364310.13
359,265287.15
360,387320.65
361,190800
362,267338.39
363,244262.49
364,329885.83
365,181159.15
366,334561.96
367,387980.94
368,251109.3
369,296715.15
370,316369.75
371,218155.88
372,233170.92
373,214437.71
374,642163.9
375,168713.12
376,365590.26
377,261780.01
378,339108.97
379,392492.86
380,333739.83
381,142229.91
382,332086.65
383,990263.08
384,134383.69
385,241055.11
386,330807.37
387,315381.35
388,264775.61
389,504894.81
390,237562.87
391,429204.27
392,327511.21
393,364923.88
394,1355242.49
395,338954.85
396,260957.72
397,331198.85
398,163349.28
399,385737.38
400,164046.84
401,324689.13
402,394510.55
403,198016.12
404,290832.54
405,355327.6
406,233613.67
407,319917.85
408,376476.21
409,370163.14
410,359445.1
411,345060.76
412,218325.94
413,232838.42
414,320836.45
415,353618.92
416,345665.7
417,827757.68
418,550233.94
419,302484.53
420,287844.78
421,138229.78
422,500440.2
423,86140.01
424,408010.75
425,232435.94
426,154720.34
427,419628.51
428,223715.36
429,334652.68
430,280820.05
431,448327.04
432,360149.47
433,369609.77
434,233518.59
435,250986.5
436,125662.47
437,325307.45
438,154810.09
439,676276.01
440,133552.74
441,398315.06
442,137268.38
443,526893.18
444,259955.92
445,555565.57
446,591366.93
447,394690.09
448,370228.95
449,203712.86
450,303437.84
451,311367.01
452,515260.54
453,148040.22
454,226231.84
455,305151.25
456,317405.17
457,237137.28
458,1081916.63
459,340053.24
460,741001.56
461,372402.46
462,318737.11
463,320816.4
464,327533.41
465,386698.36
466,233280.67
467,388197.77
468,162238.95
469,377568.92
470,236347.58
471,249742.9
472,339413.54
473,378030.36
474,378919.02
475,253666.53
476,232202.18
477,302162.65
478,361922.1
479,127801.51
480,241200.92
481,200244.71
482,235814.16
483,116377.02
484,316494.74
485,173215.23
486,123483
487,393955.26
488,500343.68
489,317823.82
490,628152.86
491,245308.89
492,170445.74
493,790958.5
494,388520.23
495,821572.39
496,223250.48
497,298457.41
498,330180.37
499,123140.28
500,311895.99
501,671491.38
502,721247.6
503,420305.35
504,388310.08
505,309395.68
506,632453.82
507,193765.56
508,359508.18
509,300918.01
510,567961.97
511,919029.94
512,342238.77
513,369957.8
514,388159.45
515,386086.33
516,585817.38
517,239640.79
518,172822.94
519,160304.95
520,227144.43
521,570029.39
522,212160.29
523,410213.56
524,224160.16
525,255408.86
526,384919.92
527,407809.07
528,238262.71
529,234578.52
530,338894.43
531,308196.59
532,72066.26
533,320938.11
534,121764.39
535,354139.07
536,161976.33
537,340009.74
538,352620.56
539,136253.27
540,263848.18
541,331797.05
542,215204.38
543,268966.81
544,355111.64
545,289410.93
546,381627.67
547,379665.76
548,424519.79
549,236656.91
550,213880.76
551,256149.53
552,347703.66
553,131771.97
554,341759.61
555,100530.72
556,506004.08
557,147982.25
558,345770.06
559,520607.49
560,575085.78
561,246366.29
562,756954.61
563,165662.22
564,150497.16
565,280220.59
566,772786.53
567,165672.08
568,288085.44
569,677023.85
570,255462.37
571,375463.51
572,377261.21
573,145951.58
574,304015.65
575,1005595.65
576,508079.99
577,730394.78
578,155664.66
579,350292.58
580,276071.31
581,347119.67
582,198977.52
583,205638.25
584,354076.22
585,304430.66
586,310428.51
587,166633.66
588,345693.24
589,334205.39
590,205639.84
591,132311.77
592,269216.51
593,497712.67
594,270969.53
595,240159.19
596,344835.09
597,296182.84
598,339088.58
599,146140.03
600,435021.32
601,280349.79
602,723533.56
603,390082.76
604,403707.44
605,243219.23
606,234060.77
607,75898.25
608,369969.25
609,56294.05
610,376655.4
611,750033.73
612,404210.39
613,384207.7
614,227044.08
615,347741.59
616,493528.14
617,309935.45
618,303553.75
619,312462.3
620,341007.37
621,327466.68
622,193851.78
623,260552.56
624,209682.7
625,233268.4
626,262428.7
627,454944.58
628,116146.97
629,400360.3
630,86395.73
631,286612.25
632,167014.58
633,149787
634,853465.98
635,339564.89
636,369477.79
637,229876.26
638,147251.69
639,115129.34
640,453347.76
641,229693.88
642,314805.09
643,271503.49
644,238954.95
645,376086.02
646,132058.93
647,337849.38
648,477954.87
649,330469.83
650,240473.75
651,320118.97
652,370730.81
653,233419.57
654,312252.54
655,555949.29
656,676118.75
657,328652.81
658,163314.96
659,219917.88
660,240868.21
661,277589.9
662,317265.05
663,414083.85
664,283205.15
665,463226
666,406344.86
667,604823.43
668,195810.87
669,871948.01
670,387127.04
671,450094.1
672,273133.36
673,185383.82
674,315213.1
675,257730.74
676,296870.52
677,350167.09
678,168610.02
679,473730.45
680,369546.45
681,364565.01
682,516763.55
683,195044.58
684,329020.12
685,322504.5
686,342999.85
687,389038.16
688,314277.77
689,210082.25
690,411364.86
691,228430.4
692,171794.08
693,233237.85
694,339587.26
695,350278.23
696,330296.88
697,322021.02
698,281364.62
699,352757.38
700,216845.1
701,179374.02
702,384633.7
703,351324.1
704,248108.61
705,105470.55
706,388803.91
707,446561.14
708,180440.38
709,137320.13
710,268323.13
711,168853.11
712,515813.95
713,347281.38
714,148142.37
715,256334.4
716,723296.23
717,383283.68
718,514521.84
719,203710.98
720,83695.94
721,320307.2
722,274564.85
723,707884.63
724,109726.27
725,222452.18
726,334123.72
727,308398.37
728,117601.25
729,326877.59
730,319943.44
731,305150.39
732,634741.88
733,110123.03
734,395301.95
735,199181.84
736,122763.63
737,305974.36
738,347735.55
739,270869.17
740,326352.09
741,159241.58
742,270833.61
743,394718.02
744,913140.65
745,577624.82
746,407390.16
747,539265.35
748,106122.6
749,341999.68
750,142494.13
751,695817.57
752,236013.91
753,274798.26
754,388208.03
755,117692.68
756,414718.12
757,138916.27
758,283933.89
759,162715.82
760,690826.58
761,184135.63
762,398954.96
763,346318.07
764,513460.64
765,339189.07
766,223187.18
767,183972.44
768,309059.72
769,233247.37
770,236621.96
771,305350.23
772,192939.83
773,474963.65
774,293881.36
775,540467.54
776,662341.38
777,623882.78
778,267941.01
779,210495.25
780,522613.52
781,420280.34
782,431941.59
783,244117.68
784,269383.77
785,177656.78
786,327997.46
787,327718.89
788,383424.58
789,274142.75
790,922253.37
791,240301.02
792,578860.39
793,229369.26
794,403269.01
795,671042.97
796,280438.16
797,234829.55
798,215148.45
799,241646.59
800,349637.54
801,208616.96
802,331802.48
803,235466.38
804,392991.6
805,115872.74
806,337665.94
807,430004.04
808,351505.98
809,563769.23
810,209219.15
811,492920.63
812,372930.56
813,402425.51
814,352723
815,247820.9
816,384656.74
817,294544.5
818,195683.68
819,188130.61
820,370924.51
821,105888.61
822,337994.01
823,331644.14
824,321797.84
825,375255.34
826,354803.05
827,247159.43
828,406617.29
829,544071.88
830,261302.66
831,240868.21
832,480461.52
833,227005.29
834,412601.93
835,399009.67
836,150965.43
837,679541.3
838,247510.91
839,277621.35
840,481796.77
841,303670.9
842,235537.95
843,180943.84
844,222557.67
845,231361.09
846,233597.34
847,259856.24
848,601840.03
849,249473.02
850,334876.14
851,455361.77
852,343003.85
853,301744.87
854,264783.6
855,241897.73
856,677807.28
857,278603.79
858,71060.99
859,257994.26
860,216562.97
861,249243.73
862,320357.47
863,324930.64
864,343343.42
865,677761.55
866,301162.27
867,175095.18
868,337286.78
869,309935.48
870,284233.35
871,382229.35
872,289345.73
873,261413.97
874,238642.46
875,368023.14
876,356550.02
877,173632.84
878,858413.53
879,305616.84
880,213958.45
881,341970.18
882,420749.85
883,159842.25
884,322199.87
885,301093.03
886,187958.14
887,170229.68
888,306809.5
889,264782.78
890,247369.47
891,781779.01
892,898926.82
893,351062.77
894,282433.55
895,253332.06
896,264549.45
897,186158.55
898,112572.3
899,349043.59
900,134485.58
901,457271.83
902,115832.95
903,181023.38
904,599383.56
905,352873.18
906,911965.03
907,362127.12
908,211151.03
909,326626.69
910,75223.72
911,879357.8
912,388027.84
913,216955.89
914,175820.4
915,139835.38
916,243141.95
917,311398.51
918,275562.7
919,730308.76
920,368776.26
921,319520.06
922,353042.09
923,204661.11
924,275395.62
925,517038.9
