Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,,
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/24,QM24S2402528,1,725.4,"390,470,936","30,716","196,631,588",92,"84,274,754","1,713,126","5,767,700","651,565,900","5,332,281,936","150,597,040",210,"40,975",684,62,"17,598,718",114,"18,004,655","22,931","4,818,457","2,669,262",,0,,22
Not Like Us,Not Like Us,Kendrick Lamar,5/4/24,USUG12400910,2,545.9,"323,703,884","28,113","174,597,137",92,"116,347,040","3,486,739","674,700","35,223,547","208,339,025","156,380,351",188,"40,778",3,67,"10,422,430",111,"7,780,028","28,444","6,623,075","1,118,279",,1,,
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/24,QZJ842400387,3,538.4,"601,309,283","54,331","211,607,669",92,"122,599,116","2,228,730","3,025,400","275,154,237","3,369,120,610","373,784,955",190,"74,333",536,136,"36,321,847",172,"5,022,621","5,639","7,208,651","5,285,340",,0,,
Flowers,Flowers - Single,Miley Cyrus,1/12/23,USSM12209777,4,444.9,"2,031,280,633","269,802","136,569,078",85,"1,096,100,899","10,629,796","7,189,811","1,078,757,968","14,603,725,994","3,351,188,582",394,"1,474,799","2,182",264,"24,684,248",210,"190,260,277","203,384",,"11,822,942",,0,,
Houdini,Houdini,Eminem,5/31/24,USUG12403398,5,423.3,"107,034,922","7,223","151,469,874",88,"77,373,957","3,670,188","16,400",,,"112,763,851",182,"12,185",1,82,"17,660,624",105,"4,493,884","7,006","207,179","457,017",,1,,
Lovin On Me,Lovin On Me,Jack Harlow,11/10/23,USAT22311371,6,410.1,"670,665,438",,"175,421,034",83,"131,148,091","1,392,593","4,202,367","214,943,489","2,938,686,633","2,867,222,632",138,"522,042","4,654",86,"17,167,254",152,"138,529,362","50,982","9,438,601","4,517,131",,1,,
Beautiful Things,Beautiful Things,Benson Boone,1/18/24,USWB12307016,7,407.2,"900,158,751","73,118","201,585,714",86,"308,723,145","4,120,760",,"29,584,940","534,915,313","4,601,579,812",280,"383,478",429,168,"48,197,850",154,"65,447,476","57,372",,"9,990,302",,0,,
Gata Only,Gata Only,FloyyMenor,2/2/24,QZL382406049,8,375.8,"675,079,153","40,094","211,236,940",92,"228,382,568","1,439,495","3,500,000","338,546,668","3,804,584,163","2,112,581,620",160,"17,221",30,87,"33,245,595",53,"3,372,428","5,762",,"6,063,523",,1,,
The Door,The Door,Teddy Swims,6/14/24,USWB12402486,12,320.2,"111,155,129",2,"263,767",,,,,,,,,,,,,2,,,,,,1,,
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/24,USUM72401991,13,316.3,"221,636,195","13,800","197,280,692",92,"40,022,524","1,307,290","195,300","45,889,000","360,017,000","342,107,131",244,"41,344",45,138,"38,243,636",163,"1,354,692","1,219","1,313,357","450,344",,0,,
Like That,WE DON'T TRUST YOU,Future,3/22/24,USSM12402041,14,308.2,"355,186,436","43,025","108,168,634",88,"98,081,493","1,456,177",,,,"174,491,415",153,"90,237",3,55,"3,001,826",109,"26,252,264","18,364","12,038,034","1,963,314",,1,,
